Crop,2014 Water Footprint (cubic meters),2014 Total Value ($USD),2014 Total Protein (Kg),2014 Total Fiber (Kg),2014 Total Vitamin A (Kg),2014 Total Vitamin C (Kg),2014 Total Vitamin E (Kg),2014 Total Calcium (Kg),2014 Total Iron (Kg),2014 Total Magnesium (Kg),2014 Total Potassium (Kg),2014 Total Saturated Fat (Kg),2014 Total Sodium (Kg),%2014 Water Footprint (cubic meters),%2014 Total Value ($USD),%2014 Total Protein (Kg),%2014 Total Fiber (Kg),%2014 Total Vitamin A (Kg),%2014 Total Vitamin C (Kg),%2014 Total Vitamin E (Kg),%2014 Total Calcium (Kg),%2014 Total Iron (Kg),%2014 Total Magnesium (Kg),%2014 Total Potassium (Kg),%2014 Total Saturated Fat (Kg),%2014 Total Sodium (Kg),Mean % Total Nutrient
Onions,164196864,345086930,1345.2406,2079.0081999999998,0.0,9.0498004,0.0,28.2500526,0.2445892,12.22946,178.9169998,0.0,4.647194799999999,0.665913452580431,1.5375374875427268,1.9740393485543926,4.3110134392441966,0.0,2.307590879529902,0.0,3.631514996620038,1.6747649509790883,1.9100250014289584,4.20469589987005,0.0,1.8441925490784334,1.9870760968459145
Oranges,344216765,1215176100,1559.3175,4158.18,0.0192315825,92.17299,0.346515,69.303,0.1732575,17.32575,313.7693325,0.0,0.0,1.395998491281885,5.41422651885416,2.2881810896054313,8.622366118034762,1.4928982537377427,23.50301019489898,1.1015493210216756,8.908828856862323,1.1863385157409214,2.705975216281649,7.373836065563805,0.0,0.0,5.198453057431572
Peaches,243767504,309511500,383.868,639.78,0.006909624,2.815032,0.298564,2.473816,0.085304,3.881332,81.166756,0.0,0.0,0.988618517193812,1.379030883828549,0.5632974031938061,1.3266422797945927,0.5363763280314762,0.7177994963054455,0.9491161175750416,0.3180064840969038,0.584098355030885,0.6061952987986601,1.9074851832997965,0.0,0.0,0.6826379041933279
Pears,50738607,80078000,61.8008,478.9562,0.0002008526,0.6643586,0.0154502,1.4368686000000002,0.0309004,1.0351634,17.922232,0.0,0.2008526,0.20577445965406274,0.35678814879325177,0.09068802337079353,0.9931594377594718,0.015591670409790008,0.16940349823596712,0.04911521094223653,0.1847079700330342,0.2115829598822606,0.16167418467898056,0.42118711744080894,0.0,0.07970633561197629,0.21607421894230178
Peppers,98369245,308687520,424.305,801.465,0.0084861,37.90458,0.18858,4.7145,0.18858,5.044515,82.50375,0.0,1.272915,0.39894430362373,1.3753596345610515,0.6226356577316887,1.6619108987082643,0.6587541025832824,9.665214616270603,0.5994839212105321,0.6060440911025126,1.291255601047129,0.7878638770708929,1.9389056363379926,0.0,0.5051435241342099,1.6670192660179188
Pistachios,845676514,1650705000,5522.1143999999995,2897.7432,0.007107672,1.5308831999999999,0.7927787999999999,28.70406,1.093488,33.078012,280.2063,1612.8948,0.273372,3.429708421251719,7.354728903740912,8.10328733225776,6.008735260725997,0.5517502845613796,0.39035690886017227,2.5201937834159516,3.6898771775696226,7.48739264332285,5.166199482034947,6.5850773377866405,15.494065049806919,0.10848493063528768,5.1004927446343205
Plums,164663015,245025900,138.2556,276.5112,0.003357636,1.876326,0.0592524,1.2047987999999998,0.039501600000000005,1.4418084,31.008756,39.5016,0.0,0.6678039650681349,1.091714793918435,0.2028796889998686,0.5733712350444505,0.26064464123464515,0.47844069186595795,0.1883596409647626,0.15487563765137294,0.2704775811343901,0.22518492977370094,0.7287311399085442,0.3794670055179377,0.0,0.31476656291778454
Potatoes,1102337693,179694670,1438.862,1510.8051,0.0,14.172790699999998,0.0,8.489285800000001,0.5755448000000001,16.474969899999998,303.0243372,0.0,4.2446429000000006,4.470618263788382,0.8006309929982552,2.111421707863761,3.1327924008085555,0.0,3.6138921425058403,0.0,1.0912888952742532,3.940902782127213,2.573098436626764,7.121319883576982,0.0,1.6844438734693619,2.2971963747502486
Pumpkins,17511040,24940900,69.937,34.9685,0.029793162,0.629433,0.07693070000000002,1.468677,0.05594960000000001,0.839244,23.77858,6.9937000000000005,0.069937,0.07101741665829886,0.1111243729893056,0.10262728460607609,0.07251037944449219,2.312766488307745,0.16049788789542196,0.2445578412210791,0.18879690690172124,0.3831012534539531,0.13107504520226118,0.5588160875852779,0.06718407346767728,0.02775379553809503,0.3863351857839818
Raspberries,29199854,462129000,100.848,546.26,0.000134464,2.201848,0.075636,2.117808,0.05882799999999999,1.84888,12.706847999999997,0.0,0.067232,0.11842233230462007,2.0590193363180482,0.14798685099380243,1.1327200158813877,0.010438094254104769,0.5614449090955814,0.24044207161247116,0.27224202449668683,0.40281039610987646,0.2887623022310039,0.2986213257856782,0.0,0.02668034347508765,0.3074680303577892
Rice,2968847734,846270000,14082.069,2578.407,0.0,0.0,0.0,55.53492,1.586712,49.58475,228.08985,198.339,9.91695,12.040398315606863,3.7705625350191716,20.664376554690666,5.346562475723431,0.0,0.0,0.0,7.1389564356455075,10.864623805539782,7.744259533095047,5.3602981168309,1.9053179214872877,3.93544193576378,5.723621525343308
Spinach,2535865,19861000,45.541599999999995,34.5488,0.00738088,0.439712,0.031408,1.5704,0.0424008,1.25632,8.7424168,1.5704,1.25632,0.010284402370972655,0.08849083922154367,0.066828870906903,0.07164009315103226,0.5729587184542838,0.11212130168305726,0.09984405025655102,0.20187329317369512,0.2903291467222352,0.19621492770696575,0.2054539485627739,0.0150858442560648,0.4985579651746508,0.2119007418225648
Squash,10083176,29199700,48.325199999999995,44.298100000000005,0.00039062869999999993,0.684607,0.0040271000000000005,0.604065,0.016108400000000002,0.6765528000000001,10.546974899999999,0.0,0.0724878,0.04089312292307933,0.13009948935186086,0.07091359443564275,0.09185615738936642,0.03032350063183019,0.17456659809450908,0.012801896802985121,0.07765192998023952,0.11029834406568871,0.10566556191252648,0.2478625405502821,0.0,0.028766054880911753,0.08642783443127111
Strawberries,115424522,1834816000,659.7303999999999,1884.944,0.0012252136000000002,55.41735359999999,0.2827416,14.891057600000002,0.37698880000000007,12.440630399999998,144.4809576,0.0,1.2252136,0.46811333715524506,8.175036889235985,0.9681047160169926,3.908603590992433,0.09511017847313051,14.130762456931487,0.8988177063174239,1.914230028369321,2.581338951808442,1.9430060769271205,3.395420729774714,0.0,0.4862137029740102,2.7565098307804607
Sweet Potatoes,226353362,243541000,488.64,946.74,0.2165286,0.73296,0.09162,9.162,0.18324,7.90986,102.9198,152.7,16.797,0.9179940780879234,1.0850988104755033,0.7170424288990522,1.9631518834173194,16.808557944946973,0.18689603486285034,0.2912541990736502,1.1777656087986468,1.2546912521787883,1.235380005151729,2.4186995174253165,1.46689277757329,6.665720629329,3.1078229346960557
Tomatoes,302222015,354707000,469.215,625.62,0.02200097,7.142495,0.260675,5.2135,0.156405,5.786985,123.66422,0.0,2.60675,1.2256854397320573,1.5803997838858108,0.6885377031677079,1.2972802261481964,1.7078786778746091,1.821250811132578,0.8286693772486768,0.6701900241728601,1.0709451282308633,0.9038245378695674,2.906210362211918,0.0,1.0344625379831738,1.1753863078218318
Walnuts,4108890885,2356584000,10247.84,4517.14,0.00053936,0.87646,0.4719399999999999,66.27386,1.95518,106.72586000000001,297.18736,4112.62,1.14614,16.66393406579685,10.499778251652096,15.037934030306285,9.366702472336344,0.041869128665620155,0.22348681881125002,1.5002674821089115,8.51943604784286,13.387618655506023,16.668688633758713,6.984146143083292,39.50735150558916,0.4548341395546311,10.153848641596646
Watermelon,66429179,108088100,190.19639999999998,126.7976,0.008970930200000001,2.5676514,0.0316994,2.2823568,0.0633988,3.1382406,35.439929199999995,0.0,0.0,0.26940882342292155,0.4815873661377642,0.279098904354649,0.2629264077284111,0.6963902232165856,0.6547204016181598,0.10077039247015138,0.2933946022754564,0.434107835399654,0.49013758632837556,0.8328673360580506,0.0,0.0,0.36767397176813577
